text,specialty
since morning chest pain,Cardiology
I feel ghutnon mein dard,Orthopedics
pait mein dard ho raha hai,Gastroenterology
I have jild par khujli,Dermatology
I have anxiety and stress,Psychiatry
mahavari theek nahi ho raha hai,Gynecologist
for last few days peshab mein jalan,Urology
I feel pait mein dard,Gastroenterology
I feel kamar mein dard,Physiotherapy
mujhe mahavari theek nahi hai,Gynecologist
I feel acne problem,Dermatology
I have wet cough with phlegm,Pulmonology
I feel peshab mein jalan,Urology
I have joint pain,Orthopedics
I have peshab mein jalan,Urology
kamar mein dard ho raha hai,Physiotherapy
since morning wazan kam ho raha hai,Endocrinology
I have khansi aur gala kharab,ENT
I am suffering from ankhon mein jalan,Ophthalmology
mujhe chest pain hai,Cardiology
I feel eye pain,Ophthalmology
mujhe breathing problem at night hai,Pulmonology
for last few days ankhon mein jalan,Ophthalmology
I am suffering from burning urination,Urology
ghutnon mein dard ho raha hai,Orthopedics
for last few days high fever with chills,Infectious Diseases
tez bukhar aur kamzori ho raha hai,Infectious Diseases
I am suffering from vomiting and nausea,Gastroenterology
mujhe breathing problem at night hai,Pulmonology
mujhe ear pain hai,ENT
since morning kan mein dard,ENT
I feel migraine pain,Neurology
mujhe anxiety and stress hai,Psychiatry
since morning shortness of breath,Pulmonology
breathing problem at night ho raha hai,Pulmonology
breathing problem at night ho raha hai,Pulmonology
since morning migraine pain,Neurology
mujhe eye pain hai,Ophthalmology
I feel skin rash and itching,Dermatology
for last few days tez bukhar aur kamzori,Infectious Diseases
since morning peshab mein jalan,Urology
I feel anxiety and stress,Psychiatry
mujhe fever and body pain hai,General Medicine
since morning cough and sore throat,General Medicine
since morning migraine pain,Neurology
for last few days breathing problem at night,Pulmonology
I feel severe headache,Neurology
I am suffering from mahavari theek nahi,Gynecologist
mujhe tez bukhar aur kamzori hai,Infectious Diseases
for last few days migraine pain,Neurology
for last few days dry cough,Pulmonology
I feel khansi aur gala kharab,ENT
for last few days sar dard aur chakkar,Neurology
I have ghutnon mein dard,Orthopedics
ghabrahat aur tension ho raha hai,Psychiatry
since morning weight loss,Endocrinology
I have kan mein dard,ENT
for last few days dry cough,Pulmonology
for last few days ankhon mein jalan,Ophthalmology
mujhe dil tez dharak raha hai hai,Cardiology
I am suffering from migraine pain,Neurology
I am suffering from stomach pain,Gastroenterology
mujhe kamar mein dard hai,Physiotherapy
since morning kamar mein dard,Physiotherapy
since morning ghabrahat aur tension,Psychiatry
since morning kan mein dard,ENT
since morning knee pain,Orthopedics
since morning anxiety and stress,Psychiatry
for last few days pait mein dard,Gastroenterology
kamar mein dard ho raha hai,Physiotherapy
for last few days sar dard aur chakkar,Neurology
mujhe dil tez dharak raha hai hai,Cardiology
mujhe ankhon mein jalan hai,Ophthalmology
I have wazan kam ho raha hai,Endocrinology
for last few days ghabrahat aur tension,Psychiatry
I have ghutnon mein dard,Orthopedics
for last few days migraine pain,Neurology
weight loss ho raha hai,Endocrinology
for last few days vomiting and nausea,Gastroenterology
since morning migraine pain,Neurology
mujhe kan mein dard hai,ENT
for last few days stomach pain,Gastroenterology
since morning high fever with chills,Infectious Diseases
since morning skin rash and itching,Dermatology
since morning severe headache,Neurology
I am suffering from stomach pain,Gastroenterology
since morning tez bukhar aur kamzori,Infectious Diseases
I have stomach pain,Gastroenterology
I am suffering from ankhon mein jalan,Ophthalmology
I am suffering from back pain,Physiotherapy
saans ka masla ho raha hai,Pulmonology
mujhe dil tez dharak raha hai hai,Cardiology
since morning acne problem,Dermatology
since morning eye pain,Ophthalmology
since morning anxiety and stress,Psychiatry
since morning saans ka masla,Pulmonology
I feel anxiety and stress,Psychiatry
mujhe vomiting and nausea hai,Gastroenterology
mujhe khansi aur gala kharab hai,ENT
I have migraine pain,Neurology
I am suffering from kamar mein dard,Physiotherapy
for last few days dry cough,Pulmonology
vomiting and nausea ho raha hai,Gastroenterology
for last few days left chest pain,Cardiology
I am suffering from anxiety and stress,Psychiatry
I am suffering from dry cough,Pulmonology
I feel acne problem,Dermatology
migraine pain ho raha hai,Neurology
I feel knee pain,Orthopedics
I feel shortness of breath,Pulmonology
I am suffering from breathing problem at night,Pulmonology
severe headache ho raha hai,Neurology
since morning anxiety and stress,Psychiatry
I feel fever and body pain,General Medicine
migraine pain ho raha hai,Neurology
for last few days migraine pain,Neurology
migraine pain ho raha hai,Neurology
I am suffering from skin rash and itching,Dermatology
since morning wet cough with phlegm,Pulmonology
since morning mahavari theek nahi,Gynecologist
eye pain ho raha hai,Ophthalmology
I feel vomiting and nausea,Gastroenterology
since morning stomach pain,Gastroenterology
since morning ear pain,ENT
mujhe acne problem hai,Dermatology
anxiety and stress ho raha hai,Psychiatry
sar dard aur chakkar ho raha hai,Neurology
mujhe sar dard aur chakkar hai,Neurology
I have dry cough,Pulmonology
ghabrahat aur tension ho raha hai,Psychiatry
I am suffering from wet cough with phlegm,Pulmonology
since morning breathing problem at night,Pulmonology
since morning mahavari theek nahi,Gynecologist
I am suffering from dry cough,Pulmonology
I am suffering from seene mein dard,Cardiology
mujhe cough and sore throat hai,General Medicine
I feel dil tez dharak raha hai,Cardiology
since morning tez bukhar aur kamzori,Infectious Diseases
mujhe kamar mein dard hai,Physiotherapy
I feel knee pain,Orthopedics
mujhe cough and sore throat hai,General Medicine
back pain ho raha hai,Physiotherapy
